population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
35949,4,17,29,270,543,1828,90,1
517763,16,95,746,2063,3067,12763,1134,1
251523,5,34,199,277,1584,5757,588,0
140687,4,18,111,388,702,2306,261,0
103916,0,20,45,243,435,1506,115,0
107103,5,22,100,436,697,3015,405,1
49355,4,8,53,169,423,1905,80,1
39957,0,6,8,64,306,776,61,0
25664,0,1,5,26,164,274,44,0
33303,3,11,21,80,337,571,40,0
114614,4,17,52,225,1049,2396,133,0
31610,4,11,28,169,220,810,79,1
235598,3,31,127,432,699,3107,174,0
19717,1,6,5,51,311,285,18,0
712209,325,684,11397,9172,16705,46750,11210,1
570275,28,96,638,360,5584,15999,1655,0
22600,3,6,7,32,164,250,19,0
127271,2,29,64,570,817,2227,199,1
129114,7,30,106,236,1448,4345,437,0
19783,0,8,16,66,117,281,20,1
72343,7,17,39,245,730,2062,198,1
50313,0,10,5,57,70,334,28,0
18702,1,6,7,61,116,248,17,1
149634,3,21,104,259,809,2038,214,0
22593,1,3,8,58,163,232,16,0
48251,3,5,21,120,207,700,43,0
30549,0,9,22,154,211,631,49,1
19926,0,2,11,67,141,201,12,1
166742,2,21,55,178,352,1584,65,0
16225,0,1,11,36,136,302,26,0
159441,8,39,126,367,408,2090,182,0
90650,8,45,266,612,1130,3026,258,1
795132,34,199,937,1145,4625,23696,3370,0
102067,4,28,161,386,898,2368,175,1
30582,0,9,10,126,209,605,77,1
675231,58,341,2742,2305,10323,21022,4321,1
266623,1,40,224,344,1167,5091,598,0
279350,2,44,262,443,1209,5418,393,0
97657,3,10,22,222,729,1544,105,0
74271,5,17,51,230,593,1702,175,1
102814,6,18,129,566,860,3220,480,1
90757,2,6,31,84,266,1064,37,0
39293,4,23,41,202,457,1995,103,1
105782,5,15,85,139,1037,2056,95,0
133612,1,32,63,509,902,2305,196,1
85951,1,16,50,389,651,1686,194,1
261667,9,41,68,330,243,1870,110,0
316777,6,66,202,447,840,4391,306,0
51566,1,15,27,102,273,1562,28,0
33953,1,4,9,99,255,567,42,0
73230,0,23,29,319,647,1521,199,1
146556,3,23,102,344,1651,3284,303,0
